City,State,Percent with Heart Attack,High Blood Pressure,High Cholesterol,Diabetes,Depression,Obesity,Elevation
Tampa,FL,4.7,32.4,27.8,12.5,17.1,28.3,48
St. Petersburg,FL,4.7,32.4,27.8,12.5,17.1,28.3,44
Clearwater,FL,4.7,32.4,27.8,12.5,17.1,28.3,30
Pensacola,FL,4.8,35.4,26.2,14.3,21.3,28.4,102
Ferry Pass,FL,4.8,35.4,26.2,14.3,21.3,28.4,131
Brent,FL,4.8,35.4,26.2,14.3,21.3,28.4,112
Palm Bay,FL,5,35.1,31.1,13,19.5,24.5,16.4
Melbourne,FL,5,35.1,31.1,13,19.5,24.5,19.69
Titusville,FL,5,35.1,31.1,13,19.5,24.5,10
Crestview,FL,5,31.3,28.3,14.2,20.7,30.2,236
Fort Walton Beach,FL,5,31.3,28.3,14.2,20.7,30.2,7
Destin,FL,5,31.3,28.3,14.2,20.7,30.2,26
Naples,FL,5.4,29.1,29.5,11.8,11.5,22.1,3
Immokalee,FL,5.4,29.1,29.5,11.8,11.5,22.1,33
Marco Island,FL,5.4,29.1,29.5,11.8,11.5,22.1,10
Cape Coral,FL,6.2,34.1,32.5,10.1,17.5,26.5,5
Fort Myers,FL,6.2,34.1,32.5,10.1,17.5,26.5,10
Ocala,FL,6.3,37.8,32.8,15,21.4,24.6,104
Lakeland,FL,6.4,36,27,15.3,20,33.6,197
Winter Haven,FL,6.4,36,27,15.3,20,33.6,167
North Port,FL,7,32.5,28.9,13.6,16,22.3,10
Sarasota,FL,7,32.5,28.9,13.6,16,22.3,16
Bradenton,FL,7,32.5,28.9,13.6,16,22.3,6
Deltona,FL,7.9,32.7,30.9,14.4,15,29.3,33
Daytona Beach,FL,7.9,32.7,30.9,14.4,15,29.3,13
Ormond Beach,FL,7.9,32.7,30.9,14.4,15,29.3,7
Atlanta,GA,3.3,29.9,23.6,11.6,15.2,26.6,1050
Sandy Springs,GA,3.3,29.9,23.6,11.6,15.2,26.6,1093
Roswell,GA,3.3,29.9,23.6,11.6,15.2,26.6,3573
Savannah,GA,3.7,33.9,24.5,13.6,16.8,29,49
Richmond County,GA,4.2,36.3,27.7,10.9,19.7,35.2,46
Columbus,GA,5.5,35.6,23.2,16.4,23.4,32.1,902
Honolulu,HI,3.6,27.1,24.4,12.6,10.2,19.9,19.69
Des Moines,IA,3.1,25,25,10.7,15.6,30.1,955
West Des Moines,IA,3.1,25,25,10.7,15.6,30.1,955
Council Bluffs,IA,3.2,25.4,23.4,9.4,16.2,31.4,1090
Cedar Rapids,IA,3.6,25.1,25,7.3,20.1,33.7,810
Davenport,IA,4.1,25.7,22.4,13.6,18.2,28.3,580
Boise City,ID,4.1,28.6,22.3,10,22.8,25.8,2730
Nampa,ID,4.1,28.6,22.3,10,22.8,25.8,2516
Chicago,IL,2.8,27.4,23.4,10,13.4,27.8,594
Naperville,IL,2.8,27.4,23.4,10,13.4,27.8,702
Elgin,IL,2.8,27.4,23.4,10,13.4,27.8,817
Rockford,IL,3.2,30.6,23.9,16,15.8,33.1,728
Peoria,IL,3.2,29.4,27.5,12,14.4,28.8,1142
Moline,IL,4.1,25.7,22.4,13.6,18.2,28.3,591
Rock Island,IL,4.1,25.7,22.4,13.6,18.2,28.3,830
